,CRA,GÓR,JAG,KOR,LPO,LGD,LEG,MIE,PIA,POG,RAD,RCZ,STM,ŚLĄ,WAR,WID,WPŁ,ZAG
CRA,-,0,0,0,2,1,0,2 *,2,2,0,0,0,3,1,4,0,1
GÓR,1,-,2,1,5,2,1,2 *,5,0,2,0,1,0,0,0,0,2
JAG,2,0,-,0,1,0,5,0,0,0,2 *,1,0,3,0,1,2,1
KOR,0,3,0,-,3,0,3,0,2,4,0,0,1 *,0,1 *,2,0,1
LPO,0,1,0,0,-,0,3,0,0,4,0,3,1,1,0,0,1,1
LGD,1,0,4,1,1,-,0,0,1,4,2,1,0,1,1,1,0,1
LEG,1,1,0,0,2,0,-,0,0,2,0,0,0,0,0,1,0,0
MIE,1,3 *,2 *,2 *,1,0,2 *,-,2 *,1,1 *,1 *,1 *,0,1 *,1 *,0,1
PIA,0,0,1,0,5,0,1,0,-,4,2 *,3,0,2,3 *,1,0,3
POG,0,1,0,4,5,0,0,0,1,-,0,5,0,1,0,0,2,0
RAD,2 *,1,2 *,1 *,1,0,1,1 *,2 *,3 *,-,2 *,0,0,1,0,0,2 *
RCZ,0,0,1,0,2,0,0,0,0,0,0,-,0,0,0,0,0,1
STM,0,4,2,0,3,3,1,1 *,2,0,1,4,-,0,0,6,1,0
ŚLĄ,2,0,2,1,0,0,1,0,2,0,2,2,1,-,2,1,0,4
WAR,1,1,0,0,5,0,0,1 *,3 *,4,1,3,3,0,-,3,2,2
WID,0,3,3,1,6,1,10,0,1,1,1,1,1,0,1,-,0,0
WPŁ,0,1,1,0,2,0,0,0,0,1,1,5,1,2,0,2,-,0
ZAG,9,2,2,1,2,4,3,0,6,1,2 *,1,0,2,2,0,0,-
