KLUB,MECZE,"over 0,5","over 1,5","over 2,5","over 3,5","over 4,5","over 5,5","over 6,5","over 7,5",Średnia goli w meczach z udziałem
Cracovia,34,32,27,12,3,2,0,0,0,"2,24"
Górnik Zabrze,34,31,26,16,8,6,1,0,0,"2,59"
Jagiellonia Białystok,34,33,30,16,10,4,3,1,0,"2,85"
Korona Kielce,34,33,25,17,7,4,1,0,0,"2,56"
Lech Poznań,34,31,24,16,7,2,0,0,0,"2,35"
Lechia Gdańsk,34,30,21,19,9,3,0,0,0,"2,41"
Legia Warszawa,34,32,25,18,12,4,2,1,0,"2,76"
Miedź Legnica,34,32,24,16,9,5,2,0,0,"2,59"
Piast Gliwice,34,33,20,9,4,2,1,0,0,"2,03"
Pogoń Szczecin,34,32,27,21,12,7,4,0,0,"3,03"
Radomiak Radom,34,30,23,14,6,2,0,0,0,"2,21"
Raków Częstochowa,34,31,23,16,9,5,1,1,1,"2,56"
Stal Mielec,34,30,25,10,6,3,2,0,0,"2,24"
Śląsk Wrocław,34,30,25,14,9,4,1,0,0,"2,44"
Warta Poznań,34,30,22,10,7,2,1,0,0,"2,12"
Widzew Łódź,34,31,26,16,7,4,1,0,0,"2,50"
Wisła Płock,34,33,25,17,8,4,2,1,1,"2,68"
Zagłębie Lubin,34,32,26,15,5,1,0,0,0,"2,32"
