ZAWODNIK,KLUB,GOLE,LN,PN,G,Inne
Marc Gual,Jagiellonia,15,5,10,0,0
Jesus Imaz,Jagiellonia,14,4,9,1,0
Kamil Grosicki,Pogoń Szczecin,13,1,12,0,0
Jakub Łukowski,Korona Kielce,12,1,11,0,0
Josue,Legia Warszawa,12,12,0,0,0
Bartosz Nowak,Górnik/Raków,11,1,8,2,0
Mikael Ishak,Lech Poznań,11,1,9,1,0
Bartłomiej Pawłowski,Widzew Łódź,10,2,6,2,0
John Yeboah,Śląsk Wrocław,10,8,1,1,0
Davo,Wisła Płock,9,3,6,0,0
Ivi Lopez,Raków Częstochowa,9,2,7,0,0
Łukasz Zwoliński,Lechia Gdańsk,9,1,5,3,0
Michał Skóraś,Lech Poznań,9,3,6,0,0
Said Hamulic,Stal Mielec,9,0,5,4,0
Szymon Włodarczyk,Górnik Zabrze,9,1,7,1,0
Kamil Wilczek,Piast Gliwice,9,5,2,2,0
Adam Zrelak,Warta Poznań,8,5,2,1,0
Vladislavs Gutkovskis,Raków Częstochowa,8,1,6,1,0
Władysław Koczerhin,Raków Częstochowa,8,0,8,0,0
Kristoffer Velde,Lech Poznań,8,1,5,2,0
Angelo Henriquez,Miedź Legnica,7,1,5,1,0
Erik Exposito,Śląsk Wrocław,7,5,0,2,0
Flavio Paixao,Lechia Gdańsk,7,1,6,0,0
Michał Rakoczy,Cracovia,7,2,5,0,0
Paweł Wszołek,Legia Warszawa,7,1,2,4,0
Rafał Wolski,Wisła Płock,7,2,5,0,0
Kacper Chodyna,Zagłębie Lubin,7,2,5,0,0
Benjamin Kallman,Cracovia,6,2,2,2,0
Fabian Piasecki,Raków Częstochowa,6,0,5,0,1
Filip Mladenović,Legia Warszawa,6,5,1,0,0
Jordi Sanchez,Widzew Łódź,6,3,3,0,0
Luka Zahović,Pogoń Szczecin,6,0,6,0,0
Lukas Podolski,Górnik Zabrze,6,5,0,1,0
Łukasz Sekulski,Wisła Płock,6,2,3,1,0
Patryk Makuch,Cracovia,6,3,2,1,0
Wahan Biczachczjan,Pogoń Szczecin,6,6,0,0,0
Bartosz Śpiączka,Korona/Wisła P,6,0,3,3,0
Sebastian Kowalczyk,Pogoń Szczecin,6,1,5,0,0
Chuca,Miedź Legnica,6,2,4,0,0
Jewgienij Szykawka,Korona Kielce,6,1,2,3,0
Leonardo Rocha,Radomiak Radom,6,0,3,3,0
Ernest Muci,Legia Warszawa,5,2,2,1,0
Pontus Almqvist,Pogoń Szczecin,5,1,3,1,0
Nene,Jagiellonia,5,5,0,0,0
Luciano Narsingh,Miedź Legnica,5,0,5,0,0
Filip Marchwiński,Lech Poznań,5,0,3,2,0
Maciej Rosołek,Legia Warszawa,5,2,3,0,0
Tomas Pekhart,Legia Warszawa,5,1,1,3,0
Damian Dąbrowski,Pogoń Szczecin,4,0,4,0,0
Dawid Abramowicz,Radomiak Radom,4,2,2,0,0
Dominik Kun,Widzew Łódź,4,0,4,0,0
Łukasz Łakomy,Zagłębie Lubin,4,2,2,0,0
Maciej Domański,Stal Mielec,4,0,4,0,0
Maciej Gajos,Lechia Gdańsk,4,0,2,2,0
Maciej Żurawski,Warta Poznań,4,0,2,2,0
Marko Kolar,Wisła Płock,4,0,3,1,0
Piotr Wlazło,Stal Mielec,4,1,2,1,0
Maurides,Radomiak Radom,4,4,0,0,0
Michał Chrapek,Piast Gliwice,4,4,0,0,0
Jean Carlos Silva,Pogoń/Raków,4,1,3,0,0
Piotr Krawczyk,Górnik Zabrze,4,4,0,0,0
Afonso Sousa,Lech Poznań,4,0,4,0,0
Rafał Augustyniak,Legia Warszawa,4,0,3,1,0
Robert Dadok,Górnik Zabrze,4,0,3,1,0
Miłosz Szczepański,Warta Poznań,4,1,2,0,1
Kanji Okunuki,Górnik Zabrze,4,0,4,0,0
Rauno Sappinen,Piast/Stal,4,1,2,1,0
Maik Nawrocki,Legia Warszawa,4,0,1,3,0
Dawid Kurminowski,Zagłębie Lubin,4,1,3,0,0
Ernest Terpiłowski,Widzew Łódź,3,2,1,0,0
Lisandro Semedo,Radomiak Radom,3,0,3,0,0
Mateusz Wdowiak,Raków Częstochowa,3,1,1,1,0
Roberto Alves,Radomiak Radom,3,3,0,0,0
Petr Schwarz,Śląsk Wrocław,3,2,1,0,0
Jan Grzesik,Warta Poznań,3,0,1,2,0
Filipe Nascimento,Radomiak Radom,3,3,0,0,0
Aleksander Paluszek,Górnik Zabrze,3,0,0,2,1
Kristoffer Hansen,Widzew Łódź,3,0,1,2,0
Jorge Felix,Piast Gliwice,3,0,2,1,0
Damian Kądzior,Piast Gliwice,3,3,0,0,0
Mateusz Łęgowski,Pogoń Szczecin,3,0,3,0,0
Luis Machado,Radomiak Radom,3,0,3,0,0
Miguel Luis,Warta Poznań,3,0,1,1,1
Dawid Błanik,Korona Kielce,3,1,2,0,0
Grzegorz Tomasiewicz,Piast Gliwice,3,1,2,0,0
Martin Kreuzriegler,Widzew Łódź,3,3,0,0,0
Damjan Bohar,Zagłębie Lubin,3,0,3,0,0
Stratos Svarnas,Raków Częstochowa,3,0,1,1,1
Patrick Olsen,Śląsk Wrocław,3,0,3,0,0
Kajetan Szmyt,Warta Poznań,3,0,3,0,0
Nahuel Leiva,Śląsk Wrocław,3,1,2,0,0
Michael Ameyaw,Piast Gliwice,3,2,1,0,0
Damian Warchoł,Wisła Płock,3,1,1,1,0
Koldo Obieta,Miedź Legnica,3,1,2,0,0
Patryk Dziczek,Piast Gliwice,3,0,3,0,0
Alexander Gorgon,Pogoń Szczecin,3,2,1,0,0
