SĘDZIA,M,RZK,ŚR.RZK,CRA,GÓR,JAG,KOR,LPO,LGD,LEG,MIE,PIA,POG,RAD,RCZ,STM,ŚLĄ,WAR,WID,WPŁ,ZAG
Karol Arys,5,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Bartosz Frankowski,23,14,"0,61",0/0,0/2,2/1,2/3,3/3,0/1,0/0,0/0,1/1,1/1,0/1,0/0,1/0,1/0,0/0,0/0,0/1,0/2
Patryk Gryckiewicz,6,2,"0,33",0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/1,0/0,0/0,0/0,0/0,0/0,1/0,0/0,0/1,0/0
Krzysztof Jakubik,22,9,"0,41",1/2,2/0,0/1,1/1,0/0,1/0,2/0,0/1,1/0,0/0,1/1,0/0,0/0,1/0,0/0,0/0,0/1,1/1
Grzegorz Kawałko,1,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Marcin Kochanek,3,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Damian Kos,18,6,"0,33",1/0,0/0,0/0,0/0,0/0,0/0,1/1,1/1,0/1,1/0,1/1,0/1,0/0,0/1,0/0,1/0,0/0,0/0
Sebastian Krasny,9,3,"0,33",0/0,0/0,0/0,0/1,0/0,0/0,0/0,0/1,0/0,0/0,1/0,0/0,0/0,0/0,1/1,0/0,0/0,1/0
Łukasz Kuźma,16,6,"0,38",0/0,0/0,0/1,0/0,0/0,0/1,1/0,0/2,0/0,2/0,0/0,0/0,2/0,1/0,0/0,0/0,0/0,0/2
Tomasz Kwiatkowski,20,4,"0,20",0/0,0/1,1/1,2/0,0/0,0/0,0/0,0/0,0/0,0/1,0/0,0/1,0/0,0/0,0/0,0/0,0/1,0/0
Piotr Lasyk,25,10,"0,40",0/2,2/0,0/0,0/0,0/0,0/1,4/0,0/0,0/0,3/2,0/0,0/0,1/2,0/1,0/0,1/0,1/1,0/1
Paweł Malec,14,1,"0,07",0/0,0/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Szymon Marciniak,19,4,"0,21",0/0,0/1,1/0,0/0,1/0,0/1,0/1,0/0,0/0,0/0,0/0,1/0,0/0,0/1,0/0,1/0,0/0,0/0
Tomasz Musiał,14,4,"0,29",0/0,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,1/1,0/1,0/0,1/0,0/0,1/0,0/0,0/1
Wojciech Myć,13,5,"0,38",0/0,0/0,0/0,0/0,0/0,1/1,0/0,1/1,0/1,1/1,1/1,0/0,0/0,1/0,0/0,0/0,0/0,0/0
Jarosław Przybył,19,3,"0,16",0/2,2/0,0/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,1/0,1/0,0/0,0/0,0/0,0/1,0/0
Paweł Raczkowski,24,9,"0,38",0/0,0/0,0/0,1/0,1/2,0/0,0/0,0/0,1/0,2/1,0/0,0/1,0/1,0/2,0/0,1/1,1/0,1/0
Daniel Stefański,22,10,"0,45",0/0,0/0,0/0,0/1,3/2,0/0,0/0,0/1,1/0,0/2,0/0,3/1,0/1,0/0,1/1,1/1,1/0,0/0
Damian Sylwestrzak,24,8,"0,33",0/2,2/1,1/0,1/1,0/0,1/2,2/0,0/0,0/1,0/0,0/0,1/0,0/0,0/0,0/0,1/1,0/1,0/0
Łukasz Szczech,2,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Piotr Urban,3,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Tomasz Wajda,4,3,"0,75",0/0,0/0,0/0,0/1,0/0,0/0,0/0,2/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
