,CRA,GÓR,JAG,KOR,LPO,LGD,LEG,MIE,PIA,POG,RAD,RCZ,STM,ŚLĄ,WAR,WID,WPŁ,ZAG,D,W,107:64,86:92,97:72,111:87,61:79,107:82,76:84,85:56,90:63,95:95,97:79,44:104,107:54,74:74,89:58,96:82,115:77,76:79,
CRA,X,3:9,3:6,10:1,4:3,6:2,4:6,7:2,13:2,3:3,7:4,3:9,5:5,5:2,6:2,9:5,9:8,8:3,105:72
GÓR,12:3,X,8:1,7:2,4:7,5:3,8:3,2:8,5:0,2:11,7:2,4:5,9:1,7:3,4:2,4:4,3:2,1:7,92:64
JAG,1:6,3:8,X,3:10,2:7,7:4,5:5,5:1,4:4,4:4,1:8,2:12,2:3,2:9,1:4,8:1,7:6,3:2,60:94
KOR,8:4,5:4,9:9,X,4:7,9:5,3:3,4:5,3:6,8:6,7:9,0:5,10:2,4:3,7:4,3:7,8:3,4:8,96:90
LPO,3:5,8:2,14:5,11:2,X,8:2,8:3,4:2,3:3,9:5,6:3,1:3,8:2,6:2,5:3,3:4,14:2,7:1,118:49
LGD,4:6,2:6,2:3,6:7,2:4,X,2:4,4:4,4:3,13:7,6:6,3:10,6:3,4:2,4:2,3:8,8:8,6:6,79:89
LEG,10:3,3:8,4:5,9:5,5:1,13:3,X,5:0,3:5,8:7,2:5,2:4,6:8,6:3,9:4,8:5,6:0,4:5,103:71
MIE,4:1,5:8,5:7,1:4,2:5,4:16,4:5,X,8:6,3:2,4:3,4:4,3:1,3:4,4:4,4:7,7:2,1:4,66:83
PIA,4:4,7:6,9:2,5:1,6:1,6:1,2:2,8:5,X,0:6,6:7,3:5,5:2,0:5,5:3,3:1,6:2,5:5,80:58
POG,7:3,7:3,3:9,11:4,5:5,9:4,2:4,8:2,10:2,X,2:5,7:7,7:6,9:1,7:4,3:7,14:7,3:2,114:75
RAD,7:2,6:3,4:3,9:6,2:6,2:5,3:5,7:2,4:4,5:7,X,3:4,4:4,8:2,3:3,3:4,2:1,8:2,80:63
RCZ,11:1,9:2,4:2,7:4,4:3,5:2,4:6,5:2,4:4,6:2,3:3,X,4:6,10:6,3:3,4:1,5:4,6:5,94:56
STM,5:2,6:8,1:4,6:7,5:7,2:7,5:7,5:6,3:2,5:11,6:3,2:9,X,2:6,5:3,10:3,5:5,4:9,77:99
ŚLĄ,5:6,3:7,8:3,5:4,3:7,5:8,4:8,2:3,1:6,4:9,3:4,0:8,6:2,X,9:0,8:6,5:5,4:3,75:89
WAR,8:2,6:2,4:3,4:6,1:5,6:5,4:6,8:1,5:4,6:2,9:3,2:4,8:1,3:7,X,7:9,7:5,5:6,93:71
WID,6:7,7:5,11:3,5:10,0:4,6:3,9:2,5:4,9:5,4:3,15:1,1:5,6:2,3:5,5:6,X,6:9,1:7,99:81
WPŁ,7:1,3:7,1:3,6:4,5:3,7:6,4:12,3:6,5:3,6:9,5:7,2:5,7:5,1:7,6:8,6:4,X,6:4,80:94
ZAG,5:8,3:4,7:4,6:10,7:4,7:6,5:3,3:3,6:4,9:1,8:6,5:5,11:1,1:7,6:3,10:6,3:8,X,102:83
