KLUB,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Średnia,DR,ŚREDNIA,"27,17","27,14","26,89","27,08","27,04","27,02","26,91","27,16","26,88","27,06","27,09","26,80","26,99","26,64","26,97","26,45","26,93","28,03","27,93","27,54","27,72","27,60","28,04","27,94","27,86","28,33","28,13","28,05","27,84","27,48","27,99","27,58","27,82","27,69",,
Cracovia,"24,55","24,55","25,00","25,00","24,36","24,91","25,36","26,27","26,27","24,73","24,82","24,64","24,91","26,36","25,73","25,55","26,55","27,27","27,27","26,27","26,45","25,36","27,09","25,82","26,00","27,09","26,55","25,55","25,55","25,55","26,55","27,09","26,64","26,64","25,83",CRA
Górnik Zabrze,"28,09","25,73","27,82","28,09","28,00","27,55","26,73","27,64","27,09","27,09","27,27","28,00","26,82","26,73","25,73","25,27","25,73","27,09","27,73","27,00","27,91","27,64","28,73","29,09","28,09","29,45","27,18","28,64","28,73","28,27","29,55","28,73","28,73","28,64","27,66",GÓR
Jagiellonia Białystok,"27,64","27,73","26,73","27,09","27,45","27,18","28,27","28,36","28,18","28,18","28,55","27,09","27,45","26,91","27,64","25,45","26,64","29,18","29,09","26,55","27,00","27,00","27,82","26,27","27,55","26,45","29,27","28,09","28,82","27,55","28,18","27,36","29,09","26,00","27,58",JAG
Korona Kielce,"28,36","28,36","28,00","28,00","28,09","27,64","27,55","27,55","28,55","28,00","28,73","27,82","27,82","26,45","26,27","26,73","26,82","28,82","28,73","28,00","28,91","28,27","29,73","29,73","29,18","29,73","29,73","29,18","29,82","28,45","29,00","28,00","29,00","28,91","28,35",KOR
Lech Poznań,"26,55","27,91","25,55","26,18","26,00","25,82","26,00","25,82","26,55","26,27","27,64","25,55","27,00","27,27","26,09","27,09","27,27","27,73","26,64","27,09","27,55","26,36","27,55","28,73","27,00","27,64","27,91","27,82","28,18","26,45","28,00","28,18","26,91","27,09","26,98",LPO
Lechia Gdańsk,"28,64","28,73","29,91","29,91","28,82","27,82","27,82","29,64","28,91","28,73","29,27","30,09","29,18","29,64","29,64","27,45","30,45","30,64","30,27","30,00","30,27","29,82","29,45","29,45","29,45","29,64","30,82","30,00","30,00","29,00","29,18","27,55","28,82","28,18","29,33",LGD
Legia Warszawa,"26,91","27,91","27,27","27,82","27,82","27,82","27,55","29,27","26,64","26,82","26,91","26,27","27,55","27,36","27,36","25,82","25,91","27,36","26,18","26,91","28,18","28,00","28,45","27,64","28,09","29,36","27,55","29,36","27,36","29,09","27,36","25,36","25,82","25,00","27,36",LEG
Miedź Legnica,"27,64","29,55","26,64","27,73","27,73","26,55","26,55","26,91","26,91","26,91","25,73","26,27","26,45","25,36","26,82","27,09","26,91","29,00","28,82","29,55","29,18","29,18","28,82","28,27","27,73","28,55","27,91","28,45","28,00","28,18","27,91","27,73","27,55","29,00","27,69",MIE
Piast Gliwice,"27,36","27,55","27,00","26,91","27,45","27,45","27,45","27,27","27,00","29,09","29,18","27,18","28,09","26,64","28,27","25,73","26,45","28,18","28,64","27,36","27,36","26,91","27,36","27,36","28,18","28,27","28,00","27,45","27,45","26,09","25,73","28,09","28,27","29,09","27,53",PIA
Pogoń Szczecin,"28,27","27,73","28,00","28,00","27,55","28,00","27,64","27,55","27,36","28,00","27,55","27,55","27,18","26,82","26,82","27,55","27,64","28,64","28,45","28,55","27,73","29,09","29,00","28,82","27,73","28,45","27,73","28,73","27,55","27,73","29,00","28,64","29,18","28,00","28,01",POG
Radomiak Radom,"28,27","26,82","26,18","28,00","28,18","28,18","28,27","26,18","26,18","25,82","27,09","25,91","27,00","26,18","27,00","26,64","26,55","28,82","28,64","28,45","28,45","28,36","28,73","28,64","28,00","28,64","28,82","28,82","28,18","28,36","28,36","28,91","27,64","28,45","27,73",RAD
Raków Częstochowa,"25,73","26,27","25,55","24,27","25,82","26,09","25,45","26,00","26,09","26,82","26,09","26,09","26,18","26,64","26,36","26,82","26,36","27,91","27,36","27,64","27,27","27,27","27,09","27,55","27,73","27,73","27,36","27,36","26,91","26,36","26,73","25,91","26,18","26,27","26,57",RCZ
Stal Mielec,"27,91","27,73","27,73","27,55","27,55","27,55","27,55","27,73","27,27","28,18","27,36","27,36","26,55","26,45","26,09","27,36","27,00","28,73","28,91","27,91","27,45","29,09","30,00","27,91","29,55","29,36","29,45","29,45","28,55","29,00","29,45","27,00","28,45","29,00","28,06",STM
Śląsk Wrocław,"25,91","26,36","25,91","26,36","26,36","25,82","25,82","26,18","25,09","25,64","25,55","25,36","26,18","26,18","26,45","26,73","26,18","26,73","26,55","26,55","27,18","26,36","26,18","26,18","27,09","27,64","27,36","27,00","25,64","26,09","26,64","26,91","27,18","27,18","26,37",ŚLĄ
Warta Poznań,"26,36","26,36","26,55","26,55","26,45","26,73","26,00","26,00","26,00","26,73","25,91","26,18","26,36","25,91","25,91","26,45","25,91","25,91","26,45","26,27","26,73","26,27","26,27","27,55","26,55","27,64","27,00","26,27","26,27","26,00","27,82","27,09","27,27","26,45","26,48",WAR
Widzew Łódź,"27,18","27,18","27,27","27,09","26,55","27,36","27,00","27,18","27,00","27,00","27,00","27,09","27,55","27,55","27,55","26,55","26,82","27,55","26,91","27,09","27,09","27,09","26,82","28,18","27,73","27,55","27,45","27,00","27,36","27,73","27,73","28,18","27,55","27,27","27,27",WID
Wisła Płock,"28,36","27,27","27,27","27,00","26,55","27,00","28,09","28,09","26,36","27,18","27,91","28,55","27,73","25,09","29,45","27,73","29,36","28,27","28,82","27,82","26,82","29,00","30,00","30,09","29,82","28,09","28,91","29,73","29,73","28,00","29,64","28,64","30,00","30,82","28,33",WPŁ
Zagłębie Lubin,"25,36","24,73","25,64","25,82","26,00","26,82","25,27","25,18","26,36","25,91","25,09","25,36","25,91","25,91","26,27","24,09","26,27","26,64","27,36","26,64","27,45","25,64","25,64","25,73","26,09","28,73","27,36","25,91","27,00","26,82","27,00","27,00","26,45","26,45","26,17",ZAG
