KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM
Cracovia,-2,5,0,-4,4,1,-5,0,-1
Górnik Zabrze,1,3,2,1,1,-3,0,-1,4
Jagiellonia,12,3,3,0,-4,8,7,3,32
Korona Kielce,-2,1,1,-3,-4,5,-3,1,-4
Lech Poznań,-1,2,-1,2,5,-2,4,-3,6
Legia Warszawa,4,5,-1,1,2,1,-1,1,12
ŁKS Łódź,-9,-6,-7,3,-1,-9,-8,-4,-41
Piast Gliwice,-1,6,2,0,-4,-3,4,-1,3
Pogoń Szczecin,-1,-1,1,2,11,13,-3,-1,21
Puszcza Niepołomice,3,3,-7,0,-4,5,-7,-3,-10
Radomiak Radom,2,-8,-2,-1,-4,-3,0,-1,-17
Raków Częstochowa,2,5,-1,2,0,0,9,-2,15
Ruch Chorzów,-3,-1,-4,-3,-10,3,3,0,-15
Stal Mielec,-1,-5,4,1,3,-9,0,1,-6
Śląsk Wrocław,3,-2,2,1,0,7,4,4,19
Warta Poznań,5,-6,1,-2,-1,-1,-3,-3,-10
Widzew Łódź,-4,-4,6,-1,1,-2,-5,8,-1
Zagłębie Lubin,-8,0,1,1,5,-11,4,1,-7
