KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ,RAZEM,54,71,78,18,68,75,77,32,473,221,252
Cracovia,4,1,5,2,1,2,6,0,21,12,9
Górnik Zabrze,4,3,6,0,3,5,4,2,27,13,14
Jagiellonia,2,3,4,2,8,5,5,0,29,11,18
Korona Kielce,2,4,4,3,2,2,4,3,24,13,11
Lech Poznań,2,4,7,0,2,2,5,3,25,13,12
Legia Warszawa,1,4,3,1,3,5,3,2,22,9,13
ŁKS Łódź,6,7,6,0,3,10,8,2,42,19,23
Piast Gliwice,1,1,5,1,4,5,1,2,20,8,12
Pogoń Szczecin,2,3,3,0,1,0,2,2,13,8,5
Puszcza Niepołomice,2,3,6,1,6,1,6,4,29,12,17
Radomiak Radom,3,6,4,2,4,6,4,1,30,15,15
Raków Częstochowa,5,4,4,1,2,7,2,3,28,14,14
Ruch Chorzów,3,4,6,2,8,3,5,2,33,15,18
Stal Mielec,2,7,4,2,4,8,4,0,31,15,16
Śląsk Wrocław,1,4,3,0,4,0,5,0,17,8,9
Warta Poznań,3,4,1,1,6,2,4,4,25,9,16
Widzew Łódź,5,2,2,0,3,5,6,2,25,9,16
Zagłębie Lubin,6,7,5,0,4,7,3,0,32,18,14
