KLUB,RAZEM,KARNY,ROŻNY,WOLNY,WOLNY BEZP,AUT,PO SFG,% PO SFG,Z GRY,% Z GRY,PO SFG BEZ KARNYCH,% PO SFG BEZ KARNYCH,SUMA,823,90,99,48,13,20,271,"32,93%",552,"67,07%",180,"21,87%"
Cracovia,45,3,9,2,0,2,16,"35,56%",29,"64,44%",13,"28,89%"
Górnik Zabrze,45,4,5,2,1,0,12,"26,67%",33,"73,33%",8,"17,78%"
Jagiellonia Białystok,77,8,9,3,5,0,25,"32,47%",52,"67,53%",17,"22,08%"
Korona Kielce,40,4,4,4,0,2,14,"35,00%",26,"65,00%",10,"25,00%"
Lech Poznań,47,3,7,1,0,1,12,"25,53%",35,"74,47%",9,"19,15%"
Legia Warszawa,51,7,2,2,2,0,13,"25,49%",38,"74,51%",6,"11,76%"
ŁKS Łódź,34,8,3,1,1,0,13,"38,24%",21,"61,76%",5,"14,71%"
Piast Gliwice,38,8,4,4,1,4,21,"55,26%",17,"44,74%",13,"34,21%"
Pogoń Szczecin,59,5,8,3,0,0,16,"27,12%",43,"72,88%",11,"18,64%"
Puszcza Niepołomice,39,8,5,2,1,6,22,"56,41%",17,"43,59%",14,"35,90%"
Radomiak Radom,41,1,5,0,0,4,10,"24,39%",31,"75,61%",9,"21,95%"
Raków Częstochowa,54,5,4,2,1,0,12,"22,22%",42,"77,78%",7,"12,96%"
Ruch Chorzów,40,5,6,3,0,1,15,"37,50%",25,"62,50%",10,"25,00%"
Stal Mielec,42,2,7,4,0,0,13,"30,95%",29,"69,05%",11,"26,19%"
Śląsk Wrocław,50,8,7,3,0,0,18,"36,00%",32,"64,00%",10,"20,00%"
Warta Poznań,33,5,4,2,0,0,11,"33,33%",22,"66,67%",6,"18,18%"
Widzew Łódź,45,4,3,7,1,0,15,"33,33%",30,"66,67%",11,"24,44%"
Zagłębie Lubin,43,2,7,3,0,0,13,"30,23%",30,"69,77%",10,"23,26%"
