KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ,RAZEM,46,58,36,10,54,60,53,33,350,150,200
Cracovia,2,5,1,0,2,2,1,0,13,8,5
Górnik Zabrze,3,1,5,1,2,4,3,3,22,10,12
Jagiellonia,8,2,3,0,5,7,5,1,31,13,18
Korona Kielce,0,2,1,0,2,5,1,1,12,3,9
Lech Poznań,0,6,1,1,5,0,4,1,18,8,10
Legia Warszawa,4,5,4,0,3,5,3,1,25,13,12
ŁKS Łódź,0,0,0,1,2,3,4,1,11,1,10
Piast Gliwice,2,4,2,0,1,2,1,1,13,8,5
Pogoń Szczecin,2,3,3,1,6,6,2,1,24,9,15
Puszcza Niepołomice,3,4,1,0,1,2,3,2,16,8,8
Radomiak Radom,5,2,1,1,3,6,2,1,21,9,12
Raków Częstochowa,3,6,1,1,2,2,5,1,21,11,10
Ruch Chorzów,1,4,2,1,0,5,3,3,19,8,11
Stal Mielec,1,2,2,2,2,2,5,1,17,7,10
Śląsk Wrocław,3,2,0,1,5,5,5,2,23,6,17
Warta Poznań,4,2,1,0,4,2,2,1,16,7,9
Widzew Łódź,3,2,4,0,3,2,1,9,24,9,15
Zagłębie Lubin,2,6,4,0,6,0,3,3,24,12,12
