,CRA,GÓR,JAG,KOR,LPO,LEG,ŁKS,PIA,POG,PUN,RAD,RCH,RCZ,STM,ŚLĄ,WAR,WID,ZAG
CRA,-,8,0,10,4,3,1,1,0,0,2,7,5 *,5,0,0,4,1
GÓR,1,-,2,8,1,0,9,2,12,1 *,0,1,3,1,12,3,12,0
JAG,0,2,-,3,0,1,5,3,2,1 *,1,6,1,4,3,4 *,1,3
KOR,3,0,2,-,0,2,3,2,1,1 *,2 *,2,0,1,6,1,1,3
LPO,4,1,3,0,-,0,4,0,3,1 *,4 *,14,1,1,1,4,0,1
LEG,7,3,3,7,2,-,16,2,2,1 *,0,1,0,0,13,2,14,6
ŁKS,0,0,1,2,0,1,-,1,12,1 *,1,1,7 *,24 *,0,0,0,0
PIA,2,0,3,6,0,1,3 *,-,2,1 *,0,3,1,4 *,5,1,1,1
POG,6,1,5,2,2,0,2,0,-,1 *,0,3,1,0,0,6 *,4,0
PUN,1 *,1 *,1 *,1 *,1 *,1 *,1 *,1 *,0,-,1 *,1 *,1 *,1 *,0,1 *,1 *,1 *
RAD,0,1,0,1,4 *,0,1,1,0,1 *,-,0,2,3 *,0,1,0,0
RCH,1,0,0,3,1,0,5,1,0,1 *,2 *,-,0,3,6,9,0,2
RCZ,4,0,5 *,2,1,3,2,5 *,3,1 *,3 *,1,-,6 *,0,5 *,2,4
STM,2,1,7 *,0,7,0,1,1,2,1 *,3 *,2,2,-,4,0,1,3
ŚLĄ,2,2,7,6,2,3,6,1,0,1 *,1,0,1,0,-,1,5,0
WAR,6,3,0,2 *,0,0,0,2,0,0,1,1,2,5,0,-,1,2
WID,3,1,0,1,1,1,1,1,0,1 *,0,1,0,1,0,0,-,0
ZAG,1,0,0,4,2,0,8,1,1,1 *,0,1,1,13 *,0,2,2,-
