,CRA,GÓR,JAG,KOR,LPO,LEG,ŁKS,PIA,POG,PUN,RAD,RCH,RCZ,STM,ŚLĄ,WAR,WID,ZAG
CRA,-,0,0,3,6,0,1,5,7,2 *,0,2,0,2,4,5,6,1
GÓR,1,-,0,0,2,5,0,0,1,2 *,3,0,0,2,0,0,2,0
JAG,1,1,-,0,5,1,0,3,2,1,0,1,0,1,0,0,0,0
KOR,2,8,2,-,0,9,0,7,4,1,0,0,2,0,3,4 *,2,1
LPO,2,3,0,1,-,5,0,1,0,1,1,1,1,1,4,0,2,0
LEG,1,0,2,1,0,-,1,0,1,2 *,1,0,2,0,2,0,1,0
ŁKS,2,7,7,1,8,11,-,6 *,1,0,0,11,2,0,8,0,3,3
PIA,2,2,4,2,0,4,0,-,0,1,2,2,1,0,2,0,1,0
POG,0,0,1,1,1,2,0,4,-,0,0,0,7,2,0,1,0,2
PUN,0,1,2 *,2 *,0,2 *,1,0,2 *,-,2 *,2 *,2 *,1,2 *,0,0,2 *
RAD,5,1,3,4 *,4,0,1,0,1,2 *,-,4 *,0,0,2,1,1,1
RCH,0,2,7,3,0,2,1,0,5,2 *,0,-,2,4,0,2,2,3
RCZ,2,2,1,0,0,1,1,0,0,1,1,1,-,1,2,3,0,1
STM,3,1,0,2,3,1,1,7,1,0,1,0,11,-,0,2,2,1
ŚLĄ,0,3,1,4,1,1,0,1,1,1,0,2,0,5,-,0,0,0
WAR,0,1,3,0,8,2,1,3,10,2 *,3,4,0,0,2,-,0,4
WID,1,0,3,0,1,0,0,0,5,1,0,0,4,1,2,3,-,3
ZAG,2,1,6,0,2,8,0,3,0,1,0,1,0,2,1,1,0,-
