,CRA,GÓR,JAG,KOR,LPO,LEG,ŁKS,PIA,POG,PUN,RAD,RCH,RCZ,STM,ŚLĄ,WAR,WID,ZAG
CRA,-,0,1,1,3,0,3,3,3,1 *,0,1,0,1,4,2,5,0
GÓR,0,-,0,0,6,2,0,6,0,1 *,3,0,0,2,0,0,1,3
JAG,3,0,-,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0
KOR,1,4,1,-,4,4,0,3,5,0,0,0,1,0,1,2 *,3,0
LPO,1,2,1,1,-,4,0,1,0,0,0,0,0,0,2,0,1,0
LEG,0,0,1,0,3,-,0,0,3,1 *,1,0,1,1,1,1,0,0
ŁKS,1,4,3,0,6,5,-,3 *,0,0,0,8,1,0,4,1,2,1
PIA,1,1,2,1,6,2,0,-,5,0,3 *,1,0,0,3,0,0,0
POG,0,0,0,0,0,1,0,2,-,0,1,0,6,1,2,1,0,1
PUN,1 *,0,1 *,1 *,0,1 *,0,0,1 *,-,1 *,1 *,1 *,0,1 *,0,0,1 *
RAD,3 *,2,3 *,2 *,2,2,0,3 *,4 *,1 *,-,2 *,0,0,1,0,1,3 *
RCH,0,1,3,1,0,5,0,0,3,1 *,1,-,1,2,1,1,1,5
RCZ,1,1,0,0,0,1,0,0,0,0,0,2,-,0,1,1,1,0
STM,1,0,0,1,4,2,0,3,1,0,0,0,5,-,0,1,7,0
ŚLĄ,0,1,0,2,0,0,0,0,1,1 *,0,1,3,2,-,0,0,5
WAR,2,0,1,0,6,1,2,4 *,5,1 *,2,2,0,0,1,-,0,3
WID,0,0,4,0,7,0,0,0,2,0,2,0,2,0,1,2,-,1
ZAG,10,3,3,0,3,4,0,7,0,0,3 *,0,0,1,3,0,1,-
