ZAWODNIK,KLUB,MIAŁ,STWORZYŁ,% WYK.
Nene,Jagiellonia,8,14,"75,0%"
Josue,Legia,1,13,"100,0%"
Erik Exposito,Śląsk,9,12,"55,6%"
Kamil Grosicki,Pogoń,12,12,"50,0%"
Dominik Marczuk,Jagiellonia,10,12,"30,0%"
John Yeboah,Raków,6,12,"16,7%"
Joel Pereira,Lech,2,11,"50,0%"
Piotr Samiec-Talar,Śląsk,5,10,"60,0%"
Afimico Pululu,Jagiellonia,14,10,"42,9%"
Kacper Chodyna,Zagłębie,10,10,"40,0%"
Maciej Domański,Stal,3,10,"33,3%"
Paweł Wszołek,Legia,8,10,"12,5%"
Lisandro Semedo,Radomiak,4,9,"50,0%"
Filip Marchwiński,Lech,5,8,"60,0%"
Petr Schwarz,Śląsk,7,8,"42,9%"
Lukas Podolski,Górnik Z,3,8,"33,3%"
Patryk Makuch,Cracovia,7,8,"28,6%"
Ante Crnac,Raków,16,8,"25,0%"
Antoni Klimek,Widzew,1,7,"100,0%"
Jesus Imaz,Jagiellonia,23,7,"43,5%"
Dawid Abramowicz,Radomiak,3,7,"0,0%"
Leonardo Koutris,Pogoń,2,7,"0,0%"
Fran Tudor,Raków,1,7,"0,0%"
Erik Janza,Górnik Z,0,6,-
Rafał Kurzawa,Pogoń,0,6,-
Miłosz Kozak,Ruch,1,6,"100,0%"
Kristoffer Hansen,Jagiellonia,8,6,"62,5%"
Adrian Dalmau,Korona,6,6,"50,0%"
Jorge Felix,Piast,8,6,"50,0%"
Daisuke Yokota,Górnik Z,4,6,"50,0%"
Kamil Zapolnik,Puszcza,4,6,"50,0%"
Wahan Biczachczjan,Pogoń,5,6,"40,0%"
Tomasz Wójtowicz,Ruch,3,6,"33,3%"
Michael Ameyaw,Piast,14,6,"28,6%"
Damian Dąbrowski,Zagłębie,0,5,-
Marcin Cebula,Raków,1,5,"100,0%"
Artur Siemaszko,Puszcza,1,5,"100,0%"
Grzegorz Tomasiewicz,Piast,1,5,"100,0%"
David Kristjan Olafsson,Cracovia,1,5,"100,0%"
Nono,Korona,3,5,"66,7%"
Adriel Ba Loua,Lech,4,5,"50,0%"
Michał Rakoczy,Cracovia,9,5,"44,4%"
Nahuel Leiva,Śląsk,10,5,"40,0%"
Pedro Henrique,Radomiak,12,5,"33,3%"
Bartosz Nowak,Raków,7,5,"28,6%"
Marc Gual,Legia,11,5,"27,3%"
Benjamin Kallman,Cracovia,12,5,"25,0%"
Damian Kądzior,Piast,1,5,"0,0%"
Jacek Podgórski,Korona,2,5,"0,0%"
Linus Wahlqvist,Pogoń,6,5,"0,0%"
Bartłomiej Wdowik,Jagiellonia,1,5,"0,0%"
Elias Andersson,Lech,0,4,-
Marek Mróz,Zagłębie,0,4,-
Srdan Plavsić,Raków,0,4,-
Jani Atanasov,Cracovia,1,4,"100,0%"
Bartłomiej Pawłowski,Widzew,5,4,"60,0%"
Alexander Gorgon,Pogoń,7,4,"57,1%"
Jewgienij Szykawka,Korona,14,4,"57,1%"
Mikael Ishak,Lech,10,4,"50,0%"
Bartosz Kapustka,Legia,2,4,"50,0%"
Władysław Koczerhin,Raków,4,4,"50,0%"
Mateusz Matras,Stal,2,4,"50,0%"
Edi Semedo,Radomiak,6,4,"50,0%"
Vagner Dias V,Radomiak,4,4,"50,0%"
Dani Ramirez,ŁKS,3,4,"33,3%"
Daniel Szczepan,Ruch,9,4,"33,3%"
Danny Trejo,Korona,3,4,"33,3%"
Efthymis Koulouris,Pogoń,19,4,"31,6%"
Sebastian Musiolik,Górnik Z,7,4,"28,6%"
Rafał Wolski,Radomiak,8,4,"25,0%"
Patryk Kun,Legia,5,4,"20,0%"
Serhij Bułeca,Zagłębie,1,4,"0,0%"
Michał Chrapek,Piast,2,4,"0,0%"
Kamil Dankowski,ŁKS,2,4,"0,0%"
Patryk Dziczek,Piast,1,4,"0,0%"
Silva Jean Carlos,Raków,4,4,"0,0%"
Fabio Nunes,Widzew,3,4,"0,0%"
Filip Borowski,Warta,0,3,-
Alan Czerwiński,Lech,0,3,-
Adrian Dieguez,Jagiellonia,0,3,-
Piotr Głowacki,ŁKS,0,3,-
Patryk Janasik,Śląsk,0,3,-
Paweł Jaroszyński,Cracovia,0,3,-
Ben Lederman,Raków,0,3,-
Tomasz Makowski,Zagłębie,0,3,-
Radovan Pankov,Legia,0,3,-
Marcel Pięczek,Puszcza/Korona,0,3,-
Taras Romanczuk,Jagiellonia,0,3,-
Otar Kakabadze,Cracovia,0,3,-
Filipe Nascimento,Górnik Z,1,3,"100,0%"
Piotr Mroziński,Puszcza,1,3,"100,0%"
Kajetan Szmyt,Warta,1,3,"100,0%"
Andrejs Ciganiks,Widzew,3,3,"66,7%"
Krystian Getinger,Stal,3,3,"66,7%"
Dawid Kurminowski,Zagłębie,13,3,"61,5%"
Lawrence Ennali,Górnik Z,8,3,"50,0%"
Damian Rasak,Górnik Z,2,3,"50,0%"
Adrian Kapralik,Górnik Z,17,3,"41,2%"
Roman Jakuba,Puszcza,5,3,"40,0%"
Karol Knap,Cracovia,3,3,"33,3%"
Sanchez Jordi,Widzew,13,3,"30,8%"
Kay Tejan,ŁKS,7,3,"28,6%"
Dawid Błanik,Korona,4,3,"25,0%"
Jakub Czerwiński,Piast,6,3,"16,7%"
Leonardo Rocha,Radomiak,7,3,"14,3%"
Filip Szymczak,Lech,9,3,"11,1%"
Artur Craciun,Puszcza,4,3,"0,0%"
Aleks Petkow,Śląsk,1,3,"0,0%"
Tomasz Pieńko,Zagłębie,5,3,"0,0%"
Adrian Przyborek,Pogoń,2,3,"0,0%"
Konrad Stępień,Puszcza,4,3,"0,0%"
Luka Zahović,Pogoń,2,3,"0,0%"
Tomas Prikryl,Warta,1,3,"0,0%"
Christos Donis,Radomiak,0,2,-
Marcus Godinho,Korona,0,2,-
Dino Hotić,Lech,0,2,-
Michał Kaput,Radomiak,0,2,-
Jesper Karlstrom,Lech,0,2,-
Jakub Konstantyn,Korona,0,2,-
Adnan Kovacević,Raków,0,2,-
Leandro Rossi,Radomiak,0,2,-
Mato Milos,Widzew,0,2,-
Patrick Olsen,Śląsk,0,2,-
Dani Pacheco,Górnik Z,0,2,-
Patryk Sikora,Ruch,0,2,-
Filip Starzyński,Ruch,0,2,-
Patryk Stępiński,Widzew/Ruch,0,2,-
Dawid Tkacz,Widzew,0,2,-
Michał Trąbka,Stal,0,2,-
Piotr Wlazło,Stal,0,2,-
Dominick Zator,Korona,0,2,-
Tihomir Kostadinov,Piast,0,2,-
Marcel Wędrychowski,Pogoń,0,2,-
Mariusz Fornalczyk,Pogoń/Korona,1,2,"100,0%"
Rok Kidric,Puszcza,1,2,"100,0%"
Paweł Olkowski,Górnik Z,1,2,"100,0%"
Michal Sacek,Jagiellonia,1,2,"100,0%"
Aleks Ławniczak,Zagłębie,4,2,"75,0%"
Ilja Szkurin,Stal,14,2,"71,4%"
Fran Alvarez,Widzew,3,2,"66,7%"
Mateusz Cholewiak,Puszcza,3,2,"66,7%"
Serhij Krykun,Piast,5,2,"60,0%"
Szymon Czyż,Górnik Z,2,2,"50,0%"
Jarosław Kubicki,Jagiellonia,2,2,"50,0%"
Nika Kwekweskiri,Lech,2,2,"50,0%"
Konrad Matuszewski,Warta,2,2,"50,0%"
Jose Naranjo,Jagiellonia,10,2,"50,0%"
Martin Remacle,Korona,4,2,"50,0%"
Imad Rondić,Widzew,7,2,"42,9%"
Soma Novothny,Ruch,7,2,"42,9%"
Kristoffer Velde,Lech,14,2,"35,7%"
Koki Hinokio,Stal,3,2,"33,3%"
Kacper Michalski,Ruch,3,2,"33,3%"
Juan Munoz,Zagłębie,6,2,"33,3%"
Fabian Piasecki,Raków/Piast,6,2,"33,3%"
Tomasz Swędrowski,Ruch,3,2,"33,3%"
Luis Machado,Radomiak,4,2,"25,0%"
Łukasz Zwoliński,Raków,9,2,"22,2%"
Afonso Sousa,Lech,1,2,"0,0%"
Robert Dadok,Górnik Z/Ruch,3,2,"0,0%"
Juergen Elitim,Legia,1,2,"0,0%"
Joao Gamboa,Pogoń,2,2,"0,0%"
Juliusz Letniowski,Ruch,1,2,"0,0%"
Łukasz Moneta,Ruch,5,2,"0,0%"
Cornel Rapa,Cracovia,1,2,"0,0%"
Stefan Savić,Warta,1,2,"0,0%"
Boris Sekulić,Górnik Z,1,2,"0,0%"
Dawid Szymonowicz,Warta,1,2,"0,0%"
Bartosz Salamon,Lech,1,2,"0,0%"
Erick Otieno,Raków,1,2,"0,0%"
Ryoya Morishita,Legia,3,2,"0,0%"
Dimitris Stavropoulos,Warta,3,2,"0,0%"
Gustav Berggren,Raków,0,1,-
Marius Briceag,Korona,0,1,-
Jurgen Celhaka,Legia,0,1,-
Wiktor Długosz,Ruch,0,1,-
Engjell Hoti,ŁKS,0,1,-
Krzysztof Kamiński,Ruch,0,1,-
Steve Kapuadi,Legia,0,1,-
Sebastian Kerk,Widzew,0,1,-
Jakub Kiełb,Warta,0,1,-
Olaf Korczakowski,Pogoń,0,1,-
Rafał Leszczyński,Śląsk,0,1,-
Mariusz Malec,Pogoń,0,1,-
Adrian Małachowski,ŁKS,0,1,-
Radosław Murawski,Lech,0,1,-
Jakub Myszor,Cracovia/Raków,0,1,-
Aurelien Nguiamba,Jagiellonia,0,1,-
Tomas Podstawski,Ruch,0,1,-
Peter Pokorny,Śląsk,0,1,-
Henrich Ravas,Widzew,0,1,-
Filip Rózga,Cracovia,0,1,-
Jakub Serafin,Puszcza,0,1,-
Michal Siplak,Górnik Z,0,1,-
Andreas Skovgaard,Cracovia,0,1,-
Bartosz Slisz,Legia,0,1,-
Kacper Tobiasz,Legia,0,1,-
Piotr Urbański,Piast,0,1,-
Kamil Cybulski,Widzew,0,1,-
Soichiro Kozuki,Górnik Z,0,1,-
Mateusz Stępień M,Stal,0,1,-
Riza Durmisi,ŁKS,0,1,-
Bogdan Tiru,Warta,0,1,-
Josema,Ruch,0,1,-
Tomasz Mokwa,Piast,0,1,-
Ion Gheorghe,Stal,0,1,-
Ivi Lopez,Raków,0,1,-
Mateusz Grzybek,Zagłębie,0,1,-
Jakub Jezierski,Śląsk,0,1,-
Bruno Jordao,Radomiak,0,1,-
Oskar Koprowski,ŁKS,0,1,-
Jakub Letniowski Ja,ŁKS,0,1,-
Danijel Loncar,Pogoń,0,1,-
Mohamed Mezghrani,Warta,0,1,-
Maciej Sadlok,Ruch,0,1,-
Miłosz Szczepański,Piast,0,1,-
Hubert Tomalski,Puszcza,0,1,-
Filip Wilak,Ruch,0,1,-
Łukasz Gerstenstein,Stal,0,1,-
Joao Peglow,Radomiak,0,1,-
