DR/KOL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Średnia,DR
CRA,6,4,4,4,4,4,4,5,5,6,5,5,6,6,4,3,4,4,5,6,6,5,4,4,3,2,4,4,5,4,5,5,5,6,"4,59",CRA
GÓR,7,7,7,7,6,7,6,6,6,5,6,7,7,7,7,7,5,6,5,5,5,5,4,5,6,5,7,7,6,6,6,6,4,4,"5,94",GÓR
JAG,3,7,7,4,5,5,5,4,4,4,4,5,5,4,4,5,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,"4,26",JAG
KOR,4,6,5,3,2,3,4,5,5,5,5,5,5,4,5,4,4,5,5,4,4,4,3,6,6,6,7,5,5,4,6,5,6,5,"4,71",KOR
LPO,4,3,3,3,4,5,3,5,5,6,3,3,3,2,3,3,2,3,5,5,5,5,5,5,5,5,4,3,6,4,5,4,5,5,"4,09",LPO
LEG,5,3,4,6,6,5,4,5,5,2,4,6,4,5,6,5,5,5,5,4,5,6,5,4,4,2,3,5,5,5,5,4,4,5,"4,59",LEG
ŁKS,6,7,8,7,6,6,5,8,7,7,7,5,7,6,6,5,4,6,6,7,4,4,5,4,5,6,4,4,4,2,5,6,5,5,"5,56",ŁKS
PIA,8,7,9,7,7,8,7,8,6,6,7,7,8,8,8,8,9,9,9,9,8,9,9,9,7,6,8,8,7,7,8,9,9,8,"7,85",PIA
POG,4,3,3,4,3,3,4,3,3,3,3,3,3,2,3,3,3,4,3,3,4,5,3,4,3,4,3,3,3,3,4,3,4,2,"3,26",POG
PUN,8,8,9,9,9,8,9,8,8,10,8,9,8,9,9,9,11,9,9,9,9,8,8,7,8,8,8,8,7,8,9,8,8,7,"8,44",PUN
RAD,5,5,5,5,5,5,5,3,6,5,5,5,5,5,4,5,6,6,5,5,4,4,4,4,4,4,4,4,4,6,6,6,6,5,"4,85",RAD
RCZ,2,1,4,3,4,4,3,4,4,2,1,2,2,3,2,2,1,3,3,2,2,3,2,2,1,2,2,1,1,0,3,1,2,3,"2,33",RCZ
RCH,11,11,11,11,11,11,7,11,10,10,10,10,10,10,10,11,10,11,10,9,9,8,8,9,8,7,7,9,8,8,8,8,8,8,"9,35",RCH
STM,9,9,8,8,8,7,11,7,7,7,6,6,6,6,7,6,7,7,8,6,6,5,6,6,6,6,6,7,6,6,7,7,7,6,"6,85",STM
ŚLĄ,7,7,6,6,5,6,6,6,3,3,3,4,4,3,4,5,5,7,6,5,5,4,6,5,4,3,4,4,6,4,5,4,3,3,"4,74",ŚLĄ
WAR,8,8,8,8,7,6,7,8,7,7,7,6,7,6,8,7,6,6,7,5,5,6,5,4,5,5,5,5,6,6,7,7,9,8,"6,53",WAR
WID,5,5,5,5,6,5,4,4,4,4,4,6,4,4,3,4,4,4,4,5,5,6,7,6,6,5,5,6,5,5,5,5,3,3,"4,74",WID
ZAG,9,9,10,10,9,9,8,7,7,7,6,7,7,7,9,9,9,7,7,8,8,7,7,7,7,7,7,7,10,10,10,10,10,10,"8,18",ZAG
