SĘDZIA,GŁ.,VAR,R,CRA,GÓR,JAG,KOR,LPO,LEG,ŁKS,PIA,POG,PUN,RAD,RCZ,RCH,STM,ŚLĄ,WAR,WID,ZAG
Karol Arys,19,0,19,4/0 (4),1/0 (1),2/0 (2),1/0 (1),2/0 (2),3/0 (3),4/0 (4),3/0 (3),0/0 (0),5/0 (5),3/0 (3),1/0 (1),1/0 (1),3/0 (3),2/0 (2),2/0 (2),1/0 (1),0/0 (0)
Bartosz Frankowski,22,29,51,2/3 (5),0/3 (3),4/1 (5),3/2 (5),2/9 (11),0/3 (3),3/5 (8),2/1 (3),3/5 (8),4/5 (9),2/4 (6),2/3 (5),4/3 (7),2/1 (3),4/0 (4),2/5 (7),3/2 (5),2/3 (5)
Patryk Gryckiewicz,10,0,10,0/0 (0),0/0 (0),1/0 (1),0/0 (0),0/0 (0),1/0 (1),1/0 (1),1/0 (1),0/0 (0),3/0 (3),1/0 (1),0/0 (0),2/0 (2),1/0 (1),0/0 (0),4/0 (4),1/0 (1),4/0 (4)
Krzysztof Jakubik,14,16,30,2/2 (4),1/2 (3),1/3 (4),1/0 (1),2/0 (2),0/0 (0),1/2 (3),1/2 (3),3/1 (4),3/2 (5),0/2 (2),2/1 (3),2/5 (7),2/4 (6),1/2 (3),2/1 (3),1/3 (4),3/0 (3)
Sebastian Jarzębak,0,1,1,0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/1 (1),0/1 (1),0/0 (0),0/0 (0),0/0 (0)
Marcin Kochanek,7,0,7,1/0 (1),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),3/0 (3),0/0 (0),0/0 (0),2/0 (2),1/0 (1),0/0 (0),0/0 (0),3/0 (3),0/0 (0),3/0 (3),0/0 (0),1/0 (1)
Damian Kos,11,8,19,2/1 (3),2/1 (3),0/3 (3),1/0 (1),2/3 (5),1/1 (2),2/0 (2),0/0 (0),1/0 (1),0/0 (0),2/2 (4),0/0 (0),1/0 (1),0/0 (0),2/1 (3),2/2 (4),2/1 (3),2/1 (3)
Sebastian Krasny,5,0,5,0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),3/0 (3),1/0 (1),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),2/0 (2),0/0 (0),1/0 (1),0/0 (0),3/0 (3)
Łukasz Kuźma,13,0,13,3/0 (3),2/0 (2),0/0 (0),1/0 (1),2/0 (2),2/0 (2),1/0 (1),1/0 (1),1/0 (1),3/0 (3),1/0 (1),2/0 (2),1/0 (1),1/0 (1),0/0 (0),0/0 (0),3/0 (3),2/0 (2)
Tomasz Kwiatkowski,16,28,44,3/1 (4),5/3 (8),3/3 (6),2/4 (6),0/5 (5),0/0 (0),2/2 (4),3/5 (8),0/2 (2),2/2 (4),1/1 (2),1/5 (6),2/5 (7),1/2 (3),1/2 (3),0/2 (2),3/5 (8),3/7 (10)
Piotr Lasyk,23,24,47,2/5 (7),1/0 (1),5/0 (5),2/3 (5),4/2 (6),5/4 (9),1/6 (7),1/0 (1),6/3 (9),1/5 (6),3/6 (9),1/1 (2),0/0 (0),2/1 (3),5/3 (8),0/1 (1),5/3 (8),2/5 (7)
Paweł Malec,10,32,42,1/4 (5),0/4 (4),1/7 (8),2/4 (6),0/3 (3),1/9 (10),0/0 (0),0/2 (2),4/5 (9),2/0 (2),1/5 (6),1/4 (5),3/4 (7),3/1 (4),1/3 (4),0/5 (5),0/0 (0),0/4 (4)
Szymon Marciniak,30,27,57,0/3 (3),4/4 (8),4/1 (5),4/3 (7),6/1 (7),8/4 (12),3/5 (8),4/5 (9),4/3 (7),0/2 (2),1/5 (6),6/3 (9),2/1 (3),2/2 (4),8/1 (9),1/4 (5),2/5 (7),1/2 (3)
Tomasz Musiał,24,24,48,0/0 (0),6/6 (12),2/2 (4),4/3 (7),2/4 (6),5/6 (11),2/3 (5),5/4 (9),3/1 (4),0/0 (0),3/2 (5),5/3 (8),3/1 (4),1/3 (4),1/5 (6),3/2 (5),3/1 (4),0/2 (2)
Wojciech Myć,7,9,16,0/1 (1),2/3 (5),1/2 (3),0/1 (1),0/1 (1),1/1 (2),1/0 (1),2/0 (2),0/1 (1),1/2 (3),1/0 (1),0/0 (0),1/0 (1),0/4 (4),1/0 (1),2/0 (2),0/0 (0),1/2 (3)
