ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,GOLE DRUŻYNY,% GOL,UDZIAŁ%,KAN+2.AS,UDZIAŁ % Z 2.AS
Ilja Szkurin,Stal Mielec,16,6,22,42,"38,1%","52,4%",23,"54,8%"
Pedro Henrique,Radomiak Radom,8,4,12,24,"33,3%","50,0%",12,"50,0%"
Erik Exposito,Śląsk Wrocław,19,5,24,50,"38,0%","48,0%",26,"52,0%"
Kamil Grosicki,Pogoń Szczecin,13,14,27,59,"22,0%","45,8%",32,"54,2%"
Kacper Chodyna,Zagłębie Lubin,7,10,17,43,"16,3%","39,5%",20,"46,5%"
Jorge Felix,Piast Gliwice,7,7,14,38,"18,4%","36,8%",16,"42,1%"
Daisuke Yokota,Górnik Zabrze,7,1,8,22,"31,8%","36,4%",9,"40,9%"
Soma Novothny,Ruch Chorzów,4,2,6,18,"22,2%","33,3%",6,"33,3%"
Dani Ramirez,ŁKS Łódź,9,2,11,34,"26,5%","32,4%",13,"38,2%"
Kristoffer Velde,Lech Poznań,10,5,15,47,"21,3%","31,9%",18,"38,3%"
Benjamin Kallman,Cracovia,9,5,14,45,"20,0%","31,1%",19,"42,2%"
Piotr Samiec-Talar,Śląsk Wrocław,7,8,15,50,"14,0%","30,0%",19,"38,0%"
Mikael Ishak,Lech Poznań,11,3,14,47,"23,4%","29,8%",14,"29,8%"
Kay Tejan,ŁKS Łódź,7,3,10,34,"20,6%","29,4%",11,"32,4%"
Bartłomiej Pawłowski,Widzew Łódź,8,5,13,45,"17,8%","28,9%",15,"33,3%"
Maciej Domański,Stal Mielec,3,9,12,42,"7,1%","28,6%",23,"54,8%"
Dawid Kurminowski,Zagłębie Lubin,12,0,12,43,"27,9%","27,9%",15,"34,9%"
Filip Marchwiński,Lech Poznań,8,5,13,47,"17,0%","27,7%",15,"31,9%"
Daniel Szczepan,Ruch Chorzów,10,1,11,40,"25,0%","27,5%",15,"37,5%"
Jewgienij Szykawka,Korona Kielce,10,1,11,40,"25,0%","27,5%",11,"27,5%"
Josue,Legia Warszawa,9,5,14,51,"17,6%","27,5%",17,"33,3%"
Kajetan Szmyt,Warta Poznań,7,2,9,33,"21,2%","27,3%",11,"33,3%"
Jordi Sanchez,Widzew Łódź,8,4,12,45,"17,8%","26,7%",16,"35,6%"
Ante Crnac,Raków Częstochowa,8,4,12,46,"17,4%","26,1%",16,"34,8%"
David Kristjan Olafsson,Cracovia,1,3,4,16,"6,3%","25,0%",4,"25,0%"
Michał Rakoczy,Cracovia,6,5,11,45,"13,3%","24,4%",15,"33,3%"
Efthymis Koulouris,Pogoń Szczecin,12,2,14,59,"20,3%","23,7%",20,"33,9%"
Michael Ameyaw,Piast Gliwice,6,3,9,38,"15,8%","23,7%",13,"34,2%"
Luka Vusković,Radomiak Radom,3,1,4,17,"17,6%","23,5%",4,"23,5%"
Artur Craciun,Puszcza Niepołomice,7,2,9,39,"17,9%","23,1%",12,"30,8%"
Kamil Zapolnik,Puszcza Niepołomice,5,4,9,39,"12,8%","23,1%",12,"30,8%"
Miłosz Kozak,Ruch Chorzów,2,6,8,35,"5,7%","22,9%",10,"28,6%"
Adrian Kapralik,Górnik Zabrze,7,3,10,44,"15,9%","22,7%",12,"27,3%"
Tomasz Swędrowski,Ruch Chorzów,4,1,5,22,"18,2%","22,7%",5,"22,7%"
Adrian Dalmau,Korona Kielce,5,4,9,40,"12,5%","22,5%",12,"30,0%"
Fran Alvarez,Widzew Łódź,6,4,10,45,"13,3%","22,2%",12,"26,7%"
Dominik Marczuk,Jagiellonia,6,11,17,77,"7,8%","22,1%",23,"29,9%"
Nene,Jagiellonia,9,8,17,77,"11,7%","22,1%",25,"32,5%"
Nahuel Leiva,Śląsk Wrocław,9,2,11,50,"18,0%","22,0%",12,"24,0%"
Rafał Wolski,Radomiak Radom,2,7,9,41,"4,9%","22,0%",10,"24,4%"
Marc Gual,Legia Warszawa,8,3,11,51,"15,7%","21,6%",14,"27,5%"
Patryk Dziczek,Piast Gliwice,8,0,8,38,"21,1%","21,1%",14,"36,8%"
Afimico Pululu,Jagiellonia,12,4,16,77,"15,6%","20,8%",21,"27,3%"
