SĘDZIA,M,RZK,ŚR.RZK,CRA,GÓR,JAG,KOR,LPO,LEG,ŁKS,PIA,POG,PUN,RAD,RCZ,RCH,STM,ŚLĄ,WAR,WID,ZAG
Karol Arys,19,9,"0,47",0/0,0/0,0/0,1/0,0/1,1/0,2/2,1/1,0/0,2/1,0/0,1/0,0/1,0/0,0/1,0/1,1/0,0/0
Bartosz Frankowski,22,11,"0,50",1/0,0/0,0/0,0/0,0/0,0/0,1/1,0/2,2/0,2/0,0/0,1/1,0/1,0/0,2/0,0/1,0/2,0/1
Patryk Gryckiewicz,10,2,"0,20",0/0,0/0,0/0,0/0,0/0,0/0,0/1,0/0,0/0,1/0,0/0,0/0,0/1,0/0,0/0,1/0,0/0,0/0
Krzysztof Jakubik,14,7,"0,50",1/1,1/0,0/1,0/0,0/0,0/0,0/0,0/0,2/2,0/0,0/0,0/0,0/0,1/1,1/1,1/0,0/0,1/1
Marcin Kochanek,7,3,"0,43",0/1,1/0,0/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,1/1,0/0,0/0
Damian Kos,11,3,"0,27",1/0,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/1,0/0,0/1
Sebastian Krasny,5,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Łukasz Kuźma,13,5,"0,38",0/1,1/0,0/0,0/1,0/0,2/0,0/0,0/0,0/1,0/0,0/1,1/0,0/1,0/0,0/0,0/0,2/0,0/0
Tomasz Kwiatkowski,16,3,"0,19",1/1,1/1,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/1,0/0,0/0,1/1,0/0,0/0,0/0,0/0,0/0
Piotr Lasyk,23,5,"0,22",0/0,0/0,0/0,0/1,0/1,1/0,0/0,0/0,2/0,0/0,1/0,0/0,0/0,0/0,0/1,0/0,1/0,0/1
Paweł Malec,10,4,"0,40",0/0,0/0,0/0,0/1,0/0,0/0,0/0,0/0,1/0,0/0,0/1,0/0,0/0,1/0,1/1,0/0,0/0,0/0
Szymon Marciniak,30,10,"0,33",0/0,0/1,1/0,2/1,1/2,1/0,1/2,1/2,0/0,0/0,0/0,0/0,0/0,0/1,2/1,0/0,0/0,0/1
Tomasz Musiał,24,6,"0,25",0/0,0/0,1/0,0/2,1/0,1/0,0/0,1/0,0/0,0/0,0/1,2/1,0/1,0/0,0/0,0/0,0/1,0/0
Wojciech Myć,7,4,"0,57",0/0,0/0,0/0,0/0,0/0,0/0,0/1,2/1,0/0,0/0,1/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Jarosław Przybył,24,6,"0,25",0/0,0/1,1/0,0/0,0/0,0/1,0/0,2/1,0/0,0/0,1/1,1/2,1/0,0/1,0/0,0/0,0/0,0/0
Paweł Raczkowski,20,13,"0,65",0/3,3/0,0/0,1/0,0/0,0/0,1/1,2/3,0/1,1/0,0/0,4/0,2/0,0/0,0/2,1/0,0/2,0/0
Daniel Stefański,19,7,"0,37",0/1,1/0,0/0,0/0,0/0,0/0,1/1,0/0,0/0,1/2,0/0,0/0,0/0,0/0,2/1,0/0,0/1,2/0
Damian Sylwestrzak,20,9,"0,45",1/0,0/1,1/0,0/0,1/4,2/0,1/0,0/0,0/0,1/0,0/0,0/1,0/0,0/3,0/0,0/0,1/0,0/0
Marcin Szczerbowicz,12,2,"0,17",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/1,1/0,0/0,0/0,0/0,0/1,1/0,0/0,0/0
