DRUŻYNA,MNP,Z,%
Cracovia,15,8,"53,33%"
Górnik Zabrze,22,15,"68,18%"
Jagiellonia Białystok,24,18,"75,00%"
Korona Kielce,12,8,"66,67%"
Lech Poznań,19,14,"73,68%"
Legia Warszawa,20,16,"80,00%"
ŁKS Łódź,11,6,"54,55%"
Piast Gliwice,16,9,"56,25%"
Pogoń Szczecin,19,16,"84,21%"
Puszcza Niepołomice,21,9,"42,86%"
Radomiak Radom,14,10,"71,43%"
Raków Częstochowa,20,14,"70,00%"
Ruch Chorzów,13,6,"46,15%"
Stal Mielec,13,11,"84,62%"
Śląsk Wrocław,23,18,"78,26%"
Warta Poznań,16,9,"56,25%"
Widzew Łódź,18,13,"72,22%"
Zagłębie Lubin,20,13,"65,00%"
