Trener,M,Z,R,P,BZ,BS,ŚR GOLI,ŚR PKT,% zwycięstw
Dawid Kroczek,5,2,1,2,7,6,"2,60","1,40","40,0%"
Jan Urban,310,155,65,90,466,318,"2,53","1,71","50,0%"
Adrian Siemieniec,42,21,11,10,89,59,"3,52","1,76","50,0%"
Kamil Kuzera,53,16,18,19,64,70,"2,53","1,25","30,2%"
Mariusz Rumak,167,73,43,51,233,188,"2,52","1,57","43,7%"
Goncalo Feio,7,4,2,1,9,7,"2,29","2,00","57,1%"
Marcin Matysiak,14,4,2,8,20,35,"3,93","1,00","28,6%"
Aleksandar Vuković,126,59,35,32,188,120,"2,44","1,68","46,8%"
Jens Gustafsson,68,33,16,19,116,84,"2,94","1,69","48,5%"
Tomasz Tułacz,34,9,13,12,39,49,"2,59","1,18","26,5%"
Bruno Baltazar,1,0,0,1,1,3,"4,00","0,00","0,0%"
Janusz Niedźwiedź,56,18,13,25,64,80,"2,57","1,20","32,1%"
Dawid Szwarga,34,14,10,10,54,39,"2,74","1,53","41,2%"
Kamil Kiereś,144,40,47,57,145,192,"2,34","1,16","27,8%"
Jacek Magiera,107,52,29,26,173,116,"2,70","1,73","48,6%"
Dawid Szulczek,88,30,23,35,96,99,"2,22","1,28","34,1%"
Daniel Myśliwiec,27,11,6,10,37,34,"2,63","1,44","40,7%"
Waldemar Fornalik,532,210,136,186,653,604,"2,36","1,44","39,5%"
