KLUB,śr./mecz,Zza/mecz,% celn zza,% ogółu zza,GOLE ZZA prz,% GOLI ZZA,% skut. ZZA
Cracovia,"11,71","4,85","23,64%","41,46%",4,"9,09%","2,42%"
Górnik Z,"13,62","5,56","21,16%","40,82%",5,"12,50%","2,65%"
Jagiellonia,"10,79","4,68","24,53%","43,32%",7,"15,56%","4,40%"
Korona,"10,85","4,15","26,24%","38,21%",8,"19,05%","5,67%"
Lech,"11,94","4,82","32,32%","40,39%",4,"10,53%","2,44%"
Legia,"9,21","4,15","17,02%","45,05%",9,"23,68%","6,38%"
ŁKS,"15,65","6,44","25,57%","41,17%",12,"16,22%","5,48%"
Piast,"10,21","4,47","21,71%","43,80%",5,"14,71%","3,29%"
Pogoń,"10,24","4,12","27,86%","40,23%",3,"8,11%","2,14%"
Puszcza,"14,44","5,91","23,38%","40,94%",8,"17,02%","3,98%"
Radomiak,"12,03","4,41","24,67%","36,67%",6,"10,91%","4,00%"
Raków,"9,88","4,41","27,33%","44,64%",5,"13,51%","3,33%"
Ruch,"13,91","5,38","22,95%","38,69%",6,"11,54%","3,28%"
Stal,"14,26","5,91","23,38%","41,44%",14,"29,79%","6,97%"
Śląsk,"10,68","4,68","24,53%","43,80%",2,"6,67%","1,26%"
Warta,"11,94","4,15","27,66%","34,73%",7,"16,67%","4,96%"
Widzew,"11,62","4,74","26,71%","40,76%",7,"15,56%","4,35%"
Zagłębie,"12,29","4,74","27,95%","38,52%",6,"12,24%","3,73%"
