POZ.,KLUB,MECZE,PUNKTY,Z,R,P,S/P,S/P PRZECIW,B PKT
1.,Legia Warszawa,34,64,18,10,6,13,8,+5
2.,Śląsk Wrocław,34,58,16,10,8,2,7,-5
3.,Jagiellonia Białystok,34,57,16,9,9,9,12,-6
4.,Pogoń Szczecin,34,57,17,6,11,6,7,+2
5.,Lech Poznań,34,56,15,11,8,6,5,+3
6.,Raków Częstochowa,34,53,14,11,9,10,5,+1
7.,Widzew Łódź,34,48,14,6,14,11,8,+2
8.,Piast Gliwice,34,48,11,15,8,7,6,+5
9.,Radomiak Radom,34,47,13,8,13,17,5,+9
10.,Stal Mielec,34,47,12,11,11,10,11,+4
11.,Górnik Zabrze,34,47,13,8,13,3,9,-6
12.,Zagłębie Lubin,34,43,12,7,15,7,12,-4
13.,Cracovia,34,42,11,9,14,14,7,+3
14.,Puszcza Niepołomice,34,41,9,14,11,9,8,+1
15.,Korona Kielce,34,37,10,7,17,4,12,-1
16.,Warta Poznań,34,35,9,8,17,7,8,-2
17.,Ruch Chorzów,34,33,8,9,17,10,9,+1
18.,ŁKS Łódź,34,22,5,7,22,5,11,-2
