KLUB,M,PKT,Z,R,P,BZ,BS,BILANS,śr. Pkt,śr. BZ,śr. BS, POZ
Jagiellonia Białystok,34,63,18,9,7,77,45,32,"1,85","2,26","1,32",1
Śląsk Wrocław,34,63,18,9,7,50,31,19,"1,85","1,47","0,91",2
Legia Warszawa,34,59,16,11,7,51,39,12,"1,74","1,50","1,15",3
Pogoń Szczecin,34,55,16,7,11,59,38,21,"1,62","1,74","1,12",4
Lech Poznań,34,53,14,11,9,47,41,6,"1,56","1,38","1,21",5
Górnik Zabrze,34,53,15,8,11,45,41,4,"1,56","1,32","1,21",6
Raków Częstochowa,34,52,14,10,10,54,39,15,"1,53","1,59","1,15",7
Zagłębie Lubin,34,47,13,8,13,43,50,-7,"1,38","1,26","1,47",8
Widzew Łódź,34,46,13,7,14,45,46,-1,"1,35","1,32","1,35",9
Piast Gliwice,34,43,9,16,9,38,35,3,"1,26","1,12","1,03",10
Stal Mielec,34,43,11,10,13,42,48,-6,"1,26","1,24","1,41",11
Puszcza Niepołomice,34,40,9,13,12,39,49,-10,"1,18","1,15","1,44",12
Cracovia,34,39,8,15,11,45,46,-1,"1,15","1,32","1,35",13
Korona Kielce,34,38,8,14,12,40,44,-4,"1,12","1,18","1,29",14
Radomiak Radom,34,38,10,8,16,41,58,-17,"1,12","1,21","1,71",15
Warta Poznań,34,37,9,10,15,33,43,-10,"1,09","0,97","1,26",16
Ruch Chorzów,34,32,6,14,14,40,55,-15,"0,94","1,18","1,62",17
ŁKS Łódź,34,24,6,6,22,34,75,-41,"0,71","1,00","2,21",18
