KLUB,M,PKT,Z,R,P,BZ,BS,BILANS,śr. Pkt,śr. BZ,śr. BS
Śląsk Wrocław,17,32,9,5,3,23,17,6,"1,88","1,35","1,00"
Legia Warszawa,17,29,8,5,4,25,22,3,"1,71","1,47","1,29"
Pogoń Szczecin,17,26,7,5,5,24,13,11,"1,53","1,41","0,76"
Jagiellonia,17,24,6,6,5,31,29,2,"1,41","1,82","1,71"
Lech Poznań,17,22,5,7,5,18,25,-7,"1,29","1,06","1,47"
Górnik Zabrze,17,21,6,3,8,22,27,-5,"1,24","1,29","1,59"
Radomiak Radom,17,21,6,3,8,21,30,-9,"1,24","1,24","1,76"
Zagłębie Lubin,17,21,6,3,8,24,32,-8,"1,24","1,41","1,88"
Widzew Łódź,17,18,4,6,7,24,25,-1,"1,06","1,41","1,47"
Cracovia,17,17,3,8,6,13,21,-8,"1,00","0,76","1,24"
Raków Częstochowa,17,17,4,5,8,21,28,-7,"1,00","1,24","1,65"
Warta Poznań,17,17,4,5,8,16,25,-9,"1,00","0,94","1,47"
Piast Gliwice,17,15,2,9,6,13,20,-7,"0,88","0,76","1,18"
Ruch Chorzów,17,13,2,7,8,19,33,-14,"0,76","1,12","1,94"
Stal Mielec,17,13,3,4,10,17,31,-14,"0,76","1,00","1,82"
Korona Kielce,17,12,2,6,9,12,24,-12,"0,71","0,71","1,41"
Puszcza Niepołomice,17,11,2,5,10,16,29,-13,"0,65","0,94","1,71"
ŁKS Łódź,17,4,1,1,15,11,42,-31,"0,24","0,65","2,47"
