KLUB,Z HT,Z,R,P,R HT,Z,R,P,P HT,Z,R,P
Cracovia,12,8,4,0,9,0,6,3,13,0,5,8
Górnik Zabrze,14,10,3,1,13,5,4,4,7,0,1,6
Jagiellonia,16,14,2,0,9,3,3,3,9,1,4,4
Korona Kielce,8,6,2,0,13,1,8,4,13,1,4,8
Lech Poznań,14,10,3,1,11,3,6,2,9,1,2,6
Legia Warszawa,13,10,3,0,14,6,4,4,7,0,4,3
ŁKS Łódź,5,3,2,0,9,3,2,4,20,0,2,18
Piast Gliwice,9,5,3,1,19,4,11,4,6,0,2,4
Pogoń Szczecin,9,8,0,1,15,7,4,4,10,1,3,6
Puszcza Niepołomice,11,4,5,2,13,4,4,5,10,1,4,5
Radomiak Radom,8,7,0,1,12,3,6,3,14,0,2,12
Raków Częstochowa,14,10,3,1,9,4,3,2,11,0,4,7
Ruch Chorzów,8,4,2,2,11,2,6,3,15,0,6,9
Stal Mielec,8,7,1,0,17,2,9,6,9,2,0,7
Śląsk Wrocław,13,10,2,1,13,6,6,1,8,2,1,5
Warta Poznań,11,6,5,0,13,3,5,5,10,0,0,10
Widzew Łódź,9,6,1,2,15,5,5,5,10,2,1,7
Zagłębie Lubin,13,8,5,0,7,3,2,2,14,2,1,11
