DR/KOL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Średnia,DR
CRA,1,0,1,1,1,1,1,1,1,2,1,1,2,3,1,0,1,0,1,1,1,1,1,1,0,0,1,1,2,1,1,1,1,2,"1,03",CRA
GÓR,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,"0,94",GÓR
JAG,1,2,2,0,1,2,2,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1,21",JAG
KOR,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,2,1,1,2,2,1,1,1,1,1,1,"1,00",KOR
LPO,1,0,1,1,2,2,1,2,2,3,1,1,1,1,1,1,0,1,1,2,3,3,2,1,2,2,0,0,2,1,1,1,2,1,"1,35",LPO
LEG,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,"0,74",LEG
ŁKS,1,2,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,2,2,1,1,1,1,1,1,1,0,0,0,1,2,2,1,1,"1,00",ŁKS
PIA,2,1,3,2,2,2,2,3,3,1,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,0,2,1,1,2,1,2,2,2,"1,88",PIA
POG,2,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,1,1,1,0,1,1,0,2,1,2,1,"0,71",POG
PUN,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,"1,12",PUN
RAD,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,2,0,"0,82",RAD
RCZ,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,0,0,1,0,1,1,"0,44",RCZ
RCH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,"0,94",RCH
STM,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2,0,1,1,2,1,1,1,1,0,1,2,1,1,2,2,2,3,"1,09",STM
ŚLĄ,1,1,1,2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,0,1,1,1,1,"1,00",ŚLĄ
WAR,1,1,2,2,2,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,2,2,"1,12",WAR
WID,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,"1,09",WID
ZAG,2,2,3,3,2,2,1,1,1,1,1,0,1,1,2,3,3,0,0,2,0,1,0,1,1,0,1,1,1,1,0,1,0,0,"1,15",ZAG
