DR/KOL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Średnia,DR
Cracovia,"25,36","26,00","26,36","26,27","26,27","25,91","26,27","26,09","26,73","26,45","27,09","26,27","24,18","23,91","24,73","25,91","25,27","26,45","26,27","26,55","26,18","26,91","27,27","27,18","27,36","28,73","27,55","26,64","26,18","28,36","28,18","28,18","28,45","26,82","26,54",CRA
Górnik Zabrze,"27,91","28,18","27,73","27,73","26,45","27,18","26,36","27,27","28,18","28,64","27,27","26,64","26,36","25,18","24,91","25,18","26,27","24,82","26,55","28,00","28,00","28,00","27,09","27,00","27,36","27,00","25,91","26,45","26,73","26,73","26,73","28,73","29,45","28,27","27,07",GÓR
Jagiellonia Białystok,"27,09","26,27","26,27","27,45","27,09","27,09","27,09","27,09","26,73","26,73","26,36","26,64","27,09","26,45","27,55","26,18","27,55","27,09","27,09","27,73","28,09","28,09","28,09","28,09","28,09","28,09","28,09","28,09","28,09","28,09","27,73","27,36","28,09","28,09","27,38",JAG
Korona Kielce,"28,73","27,64","27,09","27,55","27,55","26,73","27,00","27,09","27,27","27,27","27,27","27,27","27,27","27,18","27,36","27,09","27,27","28,09","28,82","29,27","29,73","29,73","27,27","27,45","28,09","27,55","26,82","27,45","27,64","28,36","28,00","27,09","26,91","27,36","27,66",KOR
Lech Poznań,"27,55","28,09","27,18","26,45","26,00","25,27","26,55","25,27","25,36","24,91","26,82","26,45","27,45","27,00","27,45","26,82","27,91","27,45","27,45","28,18","26,55","26,45","26,91","29,09","27,18","27,82","29,18","28,91","27,27","28,36","28,55","28,36","27,55","28,27","27,24",LPO
Legia Warszawa,"27,36","26,09","27,00","27,27","27,36","27,64","26,27","27,91","26,73","25,45","26,73","26,82","27,27","27,64","28,00","27,91","26,64","26,73","26,55","28,27","28,64","29,36","28,64","28,91","29,55","28,64","28,82","29,64","29,64","29,45","29,45","27,91","26,27","26,91","27,75",LEG
ŁKS Łódź,"28,36","27,09","25,45","26,00","26,91","26,91","26,73","26,36","27,09","26,55","27,45","26,18","27,55","26,64","26,36","26,09","28,00","26,36","26,36","27,64","28,18","28,09","27,18","27,09","27,55","27,82","27,73","27,73","27,73","27,36","27,27","26,91","27,64","26,55","27,09",ŁKS
Piast Gliwice,"27,45","28,09","26,00","26,73","26,73","27,09","27,36","25,64","26,18","27,27","26,73","26,73","27,09","27,09","26,55","27,82","27,82","26,73","26,18","28,73","28,82","28,91","27,91","28,27","28,82","30,00","28,09","28,55","28,45","27,36","28,73","28,36","28,36","28,00","27,61",PIA
Pogoń Szczecin,"27,82","27,45","28,09","28,00","28,09","29,64","26,18","29,64","29,64","29,64","29,64","29,64","28,91","29,36","29,64","29,64","29,64","29,27","29,27","28,64","28,91","27,27","29,27","30,36","28,64","28,91","29,64","28,36","28,64","28,18","29,09","28,91","28,36","29,18","28,87",POG
Puszcza Niepołomice,"27,36","26,45","27,55","27,55","27,55","27,45","26,73","27,55","27,27","28,18","28,00","26,55","27,64","27,00","26,36","27,00","28,36","26,36","26,36","27,27","28,36","26,64","27,18","26,82","27,45","27,18","27,73","26,00","26,91","27,00","26,91","27,27","26,82","26,36","27,15",PUN
Radomiak Radom,"29,36","29,36","28,82","28,73","28,64","28,00","28,45","28,82","28,45","27,64","27,64","27,45","27,82","28,45","27,45","28,91","27,64","28,00","27,45","29,09","28,09","28,45","28,45","28,64","28,64","27,91","27,36","27,36","27,36","28,73","28,73","28,18","27,64","29,91","28,28",RAD
Raków Częstochowa,"26,73","26,82","26,27","27,55","26,09","25,91","27,64","27,09","25,55","27,82","26,36","26,73","25,82","25,27","26,73","26,36","26,36","26,73","27,36","27,09","28,09","26,09","26,36","26,36","26,82","25,91","25,09","25,18","27,09","26,18","25,73","26,09","25,27","24,64","26,39",RCZ
Ruch Chorzów,"27,09","26,91","26,91","27,91","27,64","28,18","28,36","27,09","28,18","27,18","26,27","27,36","27,27","27,09","27,36","27,18","28,64","27,82","27,91","28,73","28,27","28,27","27,64","27,91","28,18","28,27","27,91","28,55","27,73","28,45","29,00","28,36","27,45","28,73","27,82",RCH
Stal Mielec,"27,55","27,55","26,64","26,91","26,91","26,82","27,64","26,82","26,82","26,82","26,18","26,00","28,64","28,64","28,18","28,55","27,64","29,55","29,09","28,00","26,64","27,09","27,55","27,91","27,91","28,36","27,91","27,64","27,82","27,73","26,82","26,82","27,64","25,82","27,49",STM
Śląsk Wrocław,"26,36","26,36","26,55","25,18","26,45","26,55","26,00","26,73","25,73","25,73","25,73","25,64","25,64","25,45","25,64","25,18","25,18","26,91","25,00","27,45","27,45","26,64","26,45","27,45","25,73","25,64","24,91","25,09","26,73","27,64","26,27","25,73","26,36","26,36","26,11",ŚLĄ
Warta Poznań,"26,91","26,91","26,64","26,64","26,09","27,00","26,73","25,45","25,64","25,64","25,91","27,09","26,36","26,00","26,64","27,82","25,73","27,45","27,55","27,36","27,36","27,09","27,36","27,73","27,09","27,55","28,27","28,00","27,55","27,55","27,36","28,00","28,45","28,09","27,03",WAR
