DR/KOL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Średnia,DR
CRA,"183,00","184,91","182,73","183,64","183,64","183,18","183,64","183,27","182,82","183,64","183,64","183,09","183,91","182,82","183,73","184,45","184,73","184,36","184,64","184,27","184,55","185,18","184,55","184,18","185,09","184,00","185,36","184,64","183,64","185,18","184,82","184,82","185,00","184,18","184,10",CRA
GÓR,"182,82","182,91","182,27","182,27","182,27","182,36","181,64","181,55","181,45","181,82","181,55","180,55","181,36","182,00","181,36","180,18","180,27","180,91","179,36","182,36","182,36","182,36","179,91","180,09","181,09","180,09","180,73","180,91","179,55","179,55","179,55","181,91","181,82","181,36","181,25",GÓR
JAG,"182,36","183,64","183,64","182,27","181,82","183,00","183,00","182,27","182,64","182,64","182,73","182,27","182,73","182,18","182,73","183,45","182,73","182,27","182,27","181,45","182,27","181,82","183,18","182,09","182,09","183,64","182,09","182,09","181,82","182,09","181,45","181,64","182,00","182,09","182,43",JAG
KOR,"181,36","182,18","180,18","179,82","179,91","178,82","180,18","181,45","181,73","181,73","181,73","181,73","181,73","181,91","181,55","181,45","181,18","181,82","181,55","181,36","180,64","181,64","178,45","181,27","182,00","183,09","182,45","180,27","183,09","182,64","182,45","182,36","181,64","183,27","181,43",KOR
LPO,"180,82","180,27","180,27","181,73","182,00","181,73","181,73","181,27","180,82","182,00","181,36","181,73","181,27","182,55","181,09","181,36","179,82","181,64","182,36","180,82","183,55","184,27","181,64","182,27","181,09","180,82","180,73","180,45","183,00","182,55","183,36","181,73","183,00","183,18","181,71",LPO
LEG,"180,64","181,00","183,64","181,91","181,09","182,00","181,36","181,00","182,27","183,09","182,73","181,82","181,73","185,55","182,91","181,00","182,27","180,36","182,55","182,27","181,55","182,00","180,73","180,91","181,18","182,45","181,55","182,82","182,82","181,73","180,82","183,55","184,00","182,36","182,05",LEG
ŁKS,"183,18","184,18","183,27","183,73","182,64","182,64","183,82","183,82","183,27","183,27","183,55","183,00","184,27","184,09","184,18","185,00","182,09","184,45","184,09","182,73","182,73","182,00","181,55","181,91","182,64","183,91","182,00","182,00","182,00","183,27","184,00","184,00","184,09","184,82","183,30",ŁKS
PIA,"178,45","178,45","179,55","177,55","177,55","177,36","178,18","179,73","179,64","177,91","177,55","177,55","177,36","177,36","176,73","178,18","177,64","177,55","178,36","178,73","179,36","178,55","179,64","179,45","179,82","180,00","181,00","178,73","177,73","178,18","179,27","178,73","178,73","178,91","178,51",PIA
POG,"182,09","182,45","182,73","183,45","182,73","183,18","184,00","183,18","183,18","183,18","183,18","183,18","183,36","183,64","183,18","183,18","183,18","184,18","183,55","183,55","183,09","183,36","183,64","183,36","183,55","183,64","182,55","182,73","184,09","182,00","183,27","182,91","183,18","183,36","183,21",POG
PUN,"186,45","186,09","185,64","184,36","184,36","185,00","184,27","183,27","183,91","184,00","185,00","185,27","184,73","184,73","183,91","184,64","182,91","182,82","182,82","183,73","184,55","183,82","185,09","183,91","184,91","184,55","183,09","183,00","182,09","182,91","181,82","181,18","184,55","182,82","184,01",PUN
RAD,"183,45","183,45","183,09","182,82","183,18","184,09","183,27","182,45","182,55","182,82","182,82","182,91","183,27","183,55","183,00","185,82","184,18","184,64","184,00","183,18","181,45","183,55","185,00","185,09","185,09","184,55","183,27","182,82","183,27","182,73","183,36","182,64","184,09","180,91","183,42",RAD
RCZ,"182,18","181,27","180,55","182,18","182,73","182,64","182,18","181,18","181,73","182,00","181,09","183,73","181,55","181,45","180,64","181,18","181,45","182,00","178,91","181,73","180,82","184,55","182,36","182,36","182,64","183,45","182,91","182,27","183,09","181,27","182,09","182,36","183,36","182,55","182,01",RCZ
RCH,"183,91","184,27","184,27","184,09","184,09","184,27","181,00","183,36","183,27","182,64","182,55","182,36","183,45","183,27","183,27","181,36","182,27","183,27","183,36","181,00","181,09","181,00","180,91","182,55","181,64","182,18","181,73","182,64","182,45","182,36","182,64","182,27","181,27","181,45","182,57",RCH
STM,"182,18","182,18","180,82","180,91","180,91","181,36","184,27","181,36","181,36","181,36","182,36","181,55","182,82","182,82","182,45","182,45","184,27","181,91","181,55","182,45","182,64","182,18","183,73","182,73","182,73","182,55","182,73","184,27","183,91","182,27","181,55","181,55","184,27","184,00","182,43",STM
ŚLĄ,"181,91","181,91","182,45","182,64","182,64","182,45","183,64","184,18","183,18","183,18","183,18","182,91","182,91","183,00","182,91","184,27","184,27","183,27","184,36","182,27","182,27","182,91","182,45","182,27","185,27","185,45","186,36","185,09","185,00","183,09","184,64","185,64","184,45","184,45","183,56",ŚLĄ
WAR,"180,82","180,82","180,45","180,45","180,91","180,91","181,27","181,36","181,00","181,00","180,73","183,45","183,64","181,18","182,91","183,91","182,27","183,27","183,64","180,27","180,27","181,64","180,27","182,45","182,36","182,00","183,09","183,45","181,64","181,64","181,82","181,45","181,64","181,91","181,76",WAR
WID,"182,55","183,73","183,73","183,73","183,82","182,18","183,27","182,82","183,64","183,64","182,36","181,73","181,73","181,36","182,45","183,09","182,00","183,64","183,82","182,82","182,91","182,00","181,73","181,91","182,00","182,00","182,00","183,36","183,91","183,00","182,09","180,55","181,73","182,82","182,65",WID
ZAG,"182,27","182,27","182,00","182,00","180,45","180,36","181,82","182,09","182,09","182,09","182,64","181,09","183,09","182,45","181,73","182,00","182,00","181,55","181,55","183,91","181,18","183,55","182,55","183,55","183,55","183,73","184,73","183,36","183,18","181,91","182,18","182,00","182,18","182,55","182,34",ZAG
